timestamp,x,y,z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate
1733312872181918,0.19222036,0.10690284,-9.597066,-0.04715468,0.039835934,0.42490503,-0.79582304,0.42406467,1.9878148,6.8202004447783615,-1.2790632127704529,73.17884173110794,60.37744053475125,2.8005006763324154,-153.71395473516074
1733312872197918,0.19224456,0.10784094,-9.590493,-0.061178982,0.047401115,0.45689088,-0.87651885,0.47282383,1.9991155,7.826933040829793,-1.1982933529591178,70.58889354403877,62.92078725321449,5.048116238208447,-161.8717616918233
1733312872205918,0.1921547,0.108352974,-9.587004,-0.06882834,0.0516459,0.4729598,-0.9561693,0.5305982,2.008613,8.34972408614511,-1.1386832849949042,69.22901080803095,65.34888066441465,7.4512584955266785,-169.98534200097706
1733312872213918,0.19198816,0.10890775,-9.583377,-0.07692175,0.056203246,0.48912188,-1.011677,0.5696681,2.020262,8.884703879388198,-1.0654189372353031,67.8261412501318,66.87247415538582,9.15804346995015,-175.3586947373935
1733312872221918,0.19174603,0.10949725,-9.579614,-0.08546135,0.06111888,0.505352,-1.0674493,0.61445403,2.0287669,9.431269596256413,-0.9779273717018149,66.38034612324932,68.32071460852694,10.936445691686021,-180.72439086030985
1733312872229918,0.19142494,0.110124506,-9.575746,-0.094446674,0.06640721,0.5216526,-1.1231656,0.66104156,2.0375698,9.98867753850838,-0.8757194152040526,64.89186404768492,69.67599278149588,12.77599456222029,-186.06025944555074
1733312872245918,0.19042207,0.11164674,-9.567466,-0.11395864,0.078323245,0.55471987,-1.2194979,0.7447521,2.0667052,11.133493795468855,-0.6248180256094632,61.78763780809417,71.55101606002965,15.681336849661836,-194.0141399744214
1733312872253918,0.18978871,0.112476744,-9.563117,-0.12433498,0.08493311,0.57142484,-1.2970426,0.826233,2.088122,11.719355942319526,-0.4749037949818767,60.17236406715481,73.23276835633386,18.739278828448313,-201.90921761741987
1733312872261918,0.18906328,0.113357596,-9.558629,-0.1351264,0.09200158,0.5882348,-1.3489267,0.88355875,2.1012425,12.312595960208638,-0.30798196988021187,58.515119469715266,74.15500223613901,20.865228137708097,-207.15557467994287
1733312872269918,0.18824252,0.1142932,-9.554,-0.1463417,0.09956438,0.6051662,-1.4019123,0.9453501,2.1164267,12.912375534296794,-0.12332001445294438,56.81610202463582,74.97244676101971,23.082744428408436,-212.37718063493148
1733312872285918,0.18630633,0.11635397,-9.544349,-0.1699229,0.116247065,0.63947177,-1.4738253,1.0426677,2.1440983,14.126848043300026,0.3003235123609126,53.29282587936853,75.90453181270193,26.47772042586606,-220.2047590792054
1733312872293918,0.18518512,0.1174878,-9.539323,-0.18226588,0.12543532,0.6568378,-1.5428717,1.148532,2.1707563,14.739517865807187,0.5393120167290358,51.47464637366422,76.5837278133951,29.873563046015406,-227.2724382130387
1733312872301918,0.18395707,0.118693896,-9.534152,-0.19495612,0.13522819,0.6743603,-1.5862807,1.224108,2.1903067,15.353966026562006,0.7976164066880704,49.61517526917003,76.80602009435236,32.28804874487932,-232.43388806177396
1733312872309918,0.18261969,0.11997712,-9.528834,-0.20795631,0.14562325,0.6920386,-1.6250237,1.299383,2.20979,15.968784154660426,1.0755421906345306,47.71442205457364,76.85226601230245,34.740722993307536,-237.5941518245489
1733312872325918,0.17960821,0.122795224,-9.5177555,-0.2347992,0.16834286,0.7279217,-1.6776807,1.4199754,2.2426953,17.193496918805508,1.6912061743810503,43.78937331226052,76.54454775906757,38.47899898415747,-245.31554639456965
1733312872333918,0.17793004,0.12434088,-9.5119915,-0.24861458,0.18073149,0.7461589,-1.7269216,1.5485789,2.2796466,17.800315896678786,2.029252505536169,41.76508936156241,75.85237223416003,42.25579139438983,-253.03549383726434
1733312872341918,0.17613469,0.12598516,-9.506076,-0.26260695,0.19384758,0.76459545,-1.7490461,1.6395113,2.3045688,18.401271648755348,2.387782892589085,39.69964337585379,75.11946900957001,44.816298381614516,-258.1807482135771
1733312872349918,0.1742209,0.12773402,-9.50004,-0.2767711,0.20770067,0.7832183,-1.7705187,1.7316359,2.3278594,18.99437259812865,2.7667249946327077,37.592857353726906,74.13761867166289,47.3677627554528,-263.3482527658609
1733312872365918,0.16972029,0.1325854,-9.489086,-0.30584997,0.23825435,0.82083,-1.8174293,1.9096051,2.3507288,20.148787448517478,3.5871900338000096,33.24422668640655,72.15092814930186,51.279064947956385,-271.7894167075223
1733312872373918,0.16729127,0.1351774,-9.483342,-0.32045624,0.2547262,0.839958,-1.8257834,2.058981,2.391003,20.706363901755992,4.028384431782802,31.00203946529614,69.69705665481405,55.14929974784912,-280.2734026388011
1733312872381918,0.16474305,0.1378893,-9.477419,-0.33503523,0.27198488,0.8593144,-1.8223747,2.157334,2.4195461,21.248162435612013,4.4891927520009975,28.717767284858308,67.72481673200244,57.601040027274394,-285.5340225547287
1733312872389918,0.16207606,0.14072782,-9.471314,-0.34954697,0.2900526,0.8789016,-1.8139668,2.2584646,2.4484022,21.77188329881113,4.969206269116417,26.390940625490973,65.46510789988956,60.0016896394274,-290.8533324209169
1733312872405918,0.15633626,0.14688244,-9.458805,-0.3883536,0.34224454,0.8766425,-2.4254134,3.2619963,-0.14119223,22.631836517119275,5.899131919989416,21.529171725844648,53.74707614425929,58.12035317956244,-303.8605562278953
1733312872413918,0.15320723,0.15029544,-9.452649,-0.4100636,0.3740237,0.8634143,-2.7137508,3.9723961,-1.6535296,22.872917446312748,6.2688958422654535,18.955371467293773,30.135116149183915,46.22049028450468,-321.72503231885923
1733312872421918,0.149906,0.15395348,-9.446575,-0.4309038,0.40690666,0.8502478,-2.6050246,4.1103697,-1.6458108,22.98120472849476,6.572744734067667,16.285632885621272,13.535910272751483,37.98111147527669,-333.7173227090628
1733312872429918,0.14643659,0.15786959,-9.440585,-0.45062098,0.44065484,0.83714354,-2.4646482,4.218522,-1.6380324,22.950373424353682,6.805427394171582,13.522326011579317,-3.8539130176346656,29.08533251298935,-345.41335925524436
1733312872445918,0.1390522,0.16647598,-9.428832,-0.48484653,0.50875837,0.81434196,-2.139097,4.2564697,-1.4250985,22.53461759096384,7.033494505120384,7.765381432768731,-25.98473958686511,14.254194434300118,-359.8090361756617
1733312872453918,0.13516702,0.17116807,-9.423054,-0.49901772,0.5427517,0.80443174,-1.7713978,4.2491703,-1.2387782,22.178204007303286,7.053597628087778,4.769777764932327,-44.55169795756929,2.5128903709242962,-374.4504584795504
